Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2000,2000-09-03,1,1,23,NWE,,TAM,L 16-21,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000,2000-09-11,2,2,23,NWE,0,NYJ,L 19-20,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000,2000-09-17,3,3,23,NWE,,MIN,L 13-21,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000,2000-09-24,4,4,23,NWE,0,MIA,L 3-10,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2000,2000-10-01,5,5,23,NWE,0,DEN,W 28-19,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2000,2000-10-08,6,6,23,NWE,,IND,W 24-16,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2000,2000-10-15,7,7,23,NWE,,NYJ,L 17-34,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2000,2000-10-22,8,8,23,NWE,0,IND,L 23-30,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000,2000-11-05,9,10,23,NWE,,BUF,L 13-16,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000,2000-11-12,10,11,23,NWE,0,CLE,L 11-19,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2000,2000-11-19,11,12,23,NWE,,CIN,W 16-13,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2000,2000-11-23,12,13,23,NWE,0,DET,L 9-34,,1,3,33.33,6,0,0,42.4,0,0,2,2,0,0,,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
13,2000,2000-12-04,13,14,23,NWE,,KAN,W 30-24,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2000,2000-12-10,14,15,23,NWE,0,CHI,L 17-24,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2000,2000-12-17,15,16,23,NWE,0,BUF,W 13-10,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2000,2000-12-24,16,17,23,NWE,,MIA,L 24-27,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2001,2001-09-09,1,1,23,NWE,0,CIN,L 17-23,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
